Country,ConvertedCompYearly,YearsCode,Job_Level,JobSat,RemoteWork,Industry,OrgSize,OrgSize_Category,Employment,DevType,EdLevel,Age
Dominican Republic,72000,13,Mid,9,Remote,Software Development,500 - 999,Medium,Employed,Developer,Masters,25-34 
United States of America,120000,16,Senior,6,Flexible,Software Development,<20,Small,Employed,Manager,Some college,35-44
Netherlands,46406,8,Mid,10,In-person,Other,20 - 99 ,Small,Employed,Developer,Secondary school ,35-44
France,42925,10,Mid,6,Hybrid-InPerson,Government,10000+,Large,Not employed,Developer,Masters,18-24
United Kingdom of Great Britain and Northern Ireland,36758,7,Mid,10,In-person,Computer System Services,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Germany,98612,29,Senior,7,Remote,Manufacturing,100 - 499,Medium,Employed,Developer,Masters,35-44
Ukraine,80000,24,Senior,8,Remote,Software Development,1,Small,Self-employed,Developer,Masters,35-44
Czech Republic,65528,37,Senior,8,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Masters,45-54 
Portugal,90491,21,Senior,8,Flexible,Software Development,100 - 499,Medium,Employed,Manager,Masters,35-44
Canada,364792,28,Senior,8,In-person,Retail Services,10000+,Large,Employed,Developer,Bachelors,35-44
Switzerland,179790,26,Senior,4,Hybrid-InPerson,Insurance,5000 - 9999,Large,Employed,Developer,Bachelors,35-44
Germany,84691,25,Senior,5,Remote,Government,1000 - 4999,Medium,Employed,Developer,Masters,35-44
United Kingdom of Great Britain and Northern Ireland,88492,20,Senior,10,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
Canada,83902,10,Mid,6,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Associate,25-34 
Bulgaria,88960,25,Senior,8,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Some college,35-44
Belgium,69609,26,Senior,8,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
United States of America,235000,12,Mid,5,Remote,Software Development,20 - 99 ,Small,Employed,Data/AI,Masters,35-44
Ireland,214627,17,Senior,7,Remote,Software Development,<20,Small,Employed,Developer,Masters,35-44
United States of America,110000,38,Senior,9,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Associate,65+
Belgium,75410,17,Senior,8,Hybrid-InPerson,Government,20 - 99 ,Small,Employed,Architect,Masters,35-44
Israel,176485,16,Senior,10,Hybrid-Flexible,Telecomm  Services,10000+,Large,Employed,Developer,Bachelors,35-44
Turkey,42921,18,Senior,8,Hybrid-InPerson,Retail Services,500 - 999,Medium,Employed,Developer,Bachelors,35-44
Finland,72393,35,Senior,8,Flexible,Supply Chain,20 - 99 ,Small,Employed,Developer,Masters,55-64
United Kingdom of Great Britain and Northern Ireland,122936,18,Senior,8,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United States of America,131000,16,Senior,8,Remote,Other,10000+,Large,Employed,Developer,Masters,35-44
Canada,114545,41,Senior,8,Remote,Higher Education,10000+,Large,Employed,Other,Some college,45-54 
Slovakia,41765,14,Mid,9,Remote,Software Development,10000+,Large,Employed,Developer,Masters,25-34 
United States of America,230000,11,Mid,8,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
New Zealand,150588,35,Senior,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
United States of America,235000,23,Senior,10,In-person,Other,100 - 499,Medium,Employed,Other,Masters,35-44
United States of America,130000,8,Mid,8,In-person,Manufacturing,10000+,Large,Employed,Developer,Masters,25-34 
Denmark,115085,21,Senior,8,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Canada,153796,8,Mid,8,Remote,Banking Services,10000+,Large,Employed,Developer,Associate,18-24
United States of America,80000,12,Mid,8,Hybrid-Flexible,Manufacturing,100 - 499,Medium,Employed,Developer,Masters,18-24
Slovenia,58007,5,Mid,7,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Associate,25-34 
Austria,75410,6,Mid,6,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Data/AI,Professional,35-44
France,75410,25,Senior,1,In-person,Healthcare,<20,Small,Employed,Developer,Bachelors,35-44
Switzerland,371979,15,Mid,6,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Masters,25-34 
Ireland,116015,10,Mid,9,Hybrid-InPerson,Software Development,10000+,Large,Employed,Data/AI,Bachelors,35-44
United States of America,177000,20,Senior,6,Remote,Software Development,10000+,Large,Employed,Developer,Bachelors,35-44
Germany,98612,35,Senior,10,Hybrid-Flexible,Energy,10000+,Large,Employed,Developer,Masters,45-54 
Germany,73089,9,Mid,7,Flexible,Software Development,500 - 999,Medium,Employed,Developer,Associate,25-34 
Denmark,59927,11,Mid,6,In-person,Software Development,<20,Small,Employed,Developer,Other,35-44
Brazil,34587,17,Senior,7,Remote,Software Development,10000+,Large,Employed,Developer,Associate,25-34 
Austria,95132,17,Senior,3,Hybrid-Flexible,Retail Services,500 - 999,Medium,Employed,Architect,Masters,25-34 
Germany,77730,25,Senior,7,Hybrid-Flexible,Insurance,500 - 999,Medium,Employed,Developer,Associate,35-44
Germany,111374,34,Senior,10,Flexible,Computer System Services,10000+,Large,Employed,Developer,Masters,35-44
Ukraine,42000,10,Mid,5,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
Italy,26683,9,Mid,7,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,18-24
United States of America,208000,8,Mid,9,In-person,Government,500 - 999,Medium,Employed,Developer,Bachelors,35-44
United States of America,136000,12,Mid,4,Hybrid-Flexible,Software Development,10000+,Large,Employed,Data/AI,Professional,25-34 
Poland,81870,23,Senior,9,Remote,Telecomm  Services,<20,Small,Self-employed,Manager,Professional,35-44
United States of America,116000,9,Mid,7,Hybrid-InPerson,Manufacturing,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Germany,208826,20,Senior,7,Hybrid-Flexible,Telecomm  Services,10000+,Large,Employed,Data/AI,Masters,35-44
United States of America,95000,21,Senior,7,Hybrid-InPerson,Healthcare,20 - 99 ,Small,Employed,Developer,Secondary school ,25-34 
United States of America,130000,28,Senior,6,Hybrid-InPerson,Manufacturing,<20,Small,Employed,Developer,Bachelors,35-44
United States of America,170000,40,Senior,8,Hybrid-InPerson,Other,1000 - 4999,Medium,Employed,Developer,Bachelors,55-64
Germany,81210,20,Senior,9,Hybrid-InPerson,Manufacturing,100 - 499,Medium,Employed,Developer,Secondary school ,45-54 
United Kingdom of Great Britain and Northern Ireland,91215,14,Mid,7,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,35-44
Canada,131325,30,Senior,5,Remote,Software Development,<20,Small,Employed,Manager,Masters,45-54 
United States of America,220000,34,Senior,7,Remote,Telecomm  Services,1000 - 4999,Medium,Employed,Architect,Bachelors,35-44
Morocco,12093,6,Mid,7,Hybrid-Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,18-24
Norway,118593,17,Senior,8,Hybrid-Flexible,Retail Services,20 - 99 ,Small,Employed,Developer,Masters,45-54 
France,75410,17,Senior,7,Remote,Software Development,<20,Small,Employed,Developer,Masters,35-44
Lithuania,52207,7,Mid,7,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,18-24
Finland,125296,22,Senior,9,Flexible,Software Development,500 - 999,Medium,Employed,Developer,Masters,35-44
United States of America,75000,8,Mid,10,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
Hungary,22555,20,Senior,7,Hybrid-Flexible,Banking Services,<20,Small,Employed,Developer,Masters,35-44
Italy,46406,13,Mid,5,Hybrid-InPerson,Manufacturing,500 - 999,Medium,Employed,Developer,Masters,25-34 
Slovakia,30164,10,Mid,9,Hybrid-InPerson,Other,<20,Small,Employed,Developer,Masters,25-34 
Czech Republic,79570,15,Mid,7,Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,25-34 
United States of America,160000,15,Mid,7,Remote,Supply Chain,5000 - 9999,Large,Employed,Developer,Bachelors,25-34 
United States of America,120000,26,Senior,8,Remote,Media Services,20 - 99 ,Small,Employed,Developer,Associate,35-44
Germany,80050,12,Mid,4,Remote,Software Development,10000+,Large,Employed,Developer,Some college,25-34 
United States of America,212640,20,Senior,8,Hybrid-Flexible,Other,10000+,Large,Employed,Developer,Bachelors,35-44
Germany,98612,22,Senior,4,Flexible,Software Development,1000 - 4999,Medium,Employed,Architect,Bachelors,35-44
Ukraine,1400,4,Mid,9,Remote,Software Development,10000+,Large,Employed,Developer,Masters,25-34 
Czech Republic,65528,20,Senior,10,Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,25-34 
Italy,32484,4,Mid,9,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
"Iran, Islamic Republic of...",16617,15,Mid,8,In-person,Fintech,<20,Small,Employed,Developer,Bachelors,35-44
Canada,89739,25,Senior,9,Flexible,Software Development,<20,Small,Employed,Developer,Masters,45-54 
France,131445,33,Senior,10,In-person,Retail Services,20 - 99 ,Small,Employed,Developer,Masters,45-54 
United States of America,170000,20,Senior,3,Flexible,Other,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Czech Republic,102972,31,Senior,8,Remote,Supply Chain,500 - 999,Medium,Employed,Architect,Masters,45-54 
Germany,104413,30,Senior,7,Flexible,Healthcare,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Ukraine,3451,4,Mid,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United States of America,180000,21,Senior,6,Remote,Healthcare,500 - 999,Medium,Employed,Developer,Bachelors,35-44
United States of America,104000,10,Mid,4,In-person,Computer System Services,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
United Kingdom of Great Britain and Northern Ireland,53436,9,Mid,8,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,18-24
Denmark,111975,19,Senior,8,In-person,Software Development,<20,Small,Employed,Developer,Secondary school ,35-44
United States of America,155000,13,Mid,4,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Italy,34804,8,Mid,7,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Some college,18-24
Germany,133417,12,Mid,6,Hybrid-InPerson,Fintech,10000+,Large,Employed,Developer,Masters,25-34 
India,22086,13,Mid,10,Remote,Software Development,20 - 99 ,Small,Employed,Architect,Bachelors,25-34 
United States of America,140000,16,Senior,9,Remote,Media Services,20 - 99 ,Small,Employed,Developer,Associate,35-44
Canada,198447,20,Senior,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United States of America,11000,14,Mid,7,In-person,Other,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Netherlands,193744,22,Senior,8,Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
New Zealand,63247,8,Mid,7,Hybrid-InPerson,Manufacturing,10000+,Large,Employed,Data/AI,Bachelors,25-34 
Colombia,55000,25,Senior,10,In-person,Software Development,20 - 99 ,Small,Employed,Developer,Masters,45-54 
Spain,63808,10,Mid,8,Hybrid-Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Some college,18-24
United Kingdom of Great Britain and Northern Ireland,125250,20,Senior,3,Flexible,Energy,10000+,Large,Employed,Developer,Masters,35-44
United States of America,200090,11,Mid,10,In-person,Software Development,<20,Small,Employed,Manager,Professional,35-44
Germany,37705,10,Mid,5,Hybrid-InPerson,Healthcare,<20,Small,Employed,Developer,Associate,25-34 
United States of America,155000,35,Senior,4,Flexible,Other,5000 - 9999,Large,Employed,Architect,Bachelors,45-54 
United States of America,300000,37,Senior,10,In-person,Software Development,10000+,Large,Employed,Developer,Professional,45-54 
Switzerland,185989,28,Senior,8,Hybrid-Flexible,Telecomm  Services,10000+,Large,Employed,Developer,Associate,35-44
Bangladesh,10800,12,Mid,8,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Brazil,28398,22,Senior,8,Remote,Telecomm  Services,20 - 99 ,Small,Employed,Developer,Associate,35-44
Brazil,136432,26,Senior,10,Remote,Other,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United States of America,100000,28,Senior,9,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
Bulgaria,71168,25,Senior,8,Flexible,Software Development,<20,Small,Employed,Developer,Masters,45-54 
Germany,97452,40,Senior,3,Hybrid-InPerson,Supply Chain,10000+,Large,Employed,Developer,Masters,45-54 
United States of America,187000,45,Senior,10,Remote,Fintech,1000 - 4999,Medium,Employed,Developer,Some college,45-54 
United States of America,297000,37,Senior,9,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,65+
Germany,58007,18,Senior,6,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
Spain,46406,12,Mid,8,Remote,Telecomm  Services,10000+,Large,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,68071,40,Senior,10,Remote,Other,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
"Iran, Islamic Republic of...",399,18,Senior,8,Hybrid-Flexible,Fintech,20 - 99 ,Small,Employed,Developer,Masters,35-44
United States of America,120000,24,Senior,7,In-person,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Canada,84632,31,Senior,8,Remote,Other,5000 - 9999,Large,Employed,Developer,Associate,45-54 
Philippines,2283,8,Mid,8,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,121000,19,Senior,9,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,35-44
Germany,26451,10,Mid,9,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Masters,35-44
Russian Federation,26795,10,Mid,6,Remote,Media Services,100 - 499,Medium,Employed,Developer,Masters,35-44
Belgium,75410,16,Senior,9,Flexible,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United States of America,150000,10,Mid,6,Remote,Software Development,10000+,Large,Employed,Developer,Masters,25-34 
United States of America,150000,24,Senior,5,Hybrid-InPerson,Insurance,10000+,Large,Employed,UI/UX professional,Bachelors,45-54 
Canada,41586,10,Mid,7,Hybrid-InPerson,Supply Chain,20 - 99 ,Small,Employed,Developer,Other,25-34 
United States of America,130000,20,Senior,8,Remote,Fintech,100 - 499,Medium,Employed,Developer,Some college,35-44
France,34804,12,Mid,5,Flexible,Software Development,1000 - 4999,Medium,Student,Developer,Masters,18-24
Spain,98612,30,Senior,10,Flexible,Retail Services,5000 - 9999,Large,Employed,Architect,Bachelors,45-54 
Norway,116122,40,Senior,9,Hybrid-Flexible,Other,20 - 99 ,Small,Employed,Developer,Masters,45-54 
India,133676,30,Senior,8,Hybrid-InPerson,Telecomm  Services,100 - 499,Medium,Employed,Architect,Bachelors,45-54 
United Kingdom of Great Britain and Northern Ireland,102106,17,Senior,7,Hybrid-InPerson,Software Development,5000 - 9999,Large,Employed,Developer,Masters,35-44
Switzerland,142592,23,Senior,8,Hybrid-InPerson,Software Development,5000 - 9999,Large,Employed,Developer,Bachelors,35-44
Australia,115717,10,Mid,7,Remote,Fintech,20 - 99 ,Small,Employed,Manager,Bachelors,35-44
Netherlands,69609,20,Senior,6,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,120000,30,Senior,7,Remote,Media Services,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
Canada,91198,25,Senior,10,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Associate,35-44
Canada,61285,6,Mid,8,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Some college,18-24
Australia,83212,9,Mid,8,Hybrid-Flexible,Other,100 - 499,Medium,Employed,Developer,Masters,45-54 
Greece,174022,30,Senior,8,Remote,Fintech,100 - 499,Medium,Employed,Developer,Professional,45-54 
Sweden,120021,29,Senior,2,Hybrid-InPerson,Software Development,5000 - 9999,Large,Employed,Developer,Some college,35-44
Canada,83902,14,Mid,9,Remote,Software Development,<20,Small,Employed,Developer,Other,25-34 
France,197225,12,Mid,7,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
Germany,69609,15,Mid,5,Remote,Software Development,<20,Small,Employed,Developer,Masters,35-44
Sweden,83857,20,Senior,6,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Some college,35-44
United States of America,200000,25,Senior,9,Remote,Software Development,10000+,Large,Employed,Other,Bachelors,35-44
United States of America,170000,13,Mid,8,Hybrid-InPerson,Healthcare,1000 - 4999,Medium,Employed,Architect,Bachelors,35-44
United States of America,150000,19,Senior,3,Remote,Software Development,<20,Small,Employed,Developer,Secondary school ,35-44
United States of America,300000,10,Mid,10,Remote,Software Development,10000+,Large,Employed,Data/AI,Masters,25-34 
Germany,92812,14,Mid,9,Hybrid-Flexible,Insurance,1000 - 4999,Medium,Employed,Developer,Professional,35-44
Finland,127616,20,Senior,1,Hybrid-InPerson,Supply Chain,20 - 99 ,Small,Employed,Architect,Associate,35-44
United States of America,585000,40,Senior,9,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,45-54 
United States of America,270000,37,Senior,7,Remote,Telecomm  Services,10000+,Large,Employed,Developer,Bachelors,55-64
United Kingdom of Great Britain and Northern Ireland,136141,11,Mid,6,Remote,Fintech,20 - 99 ,Small,Employed,Manager,Masters,25-34 
France,60328,17,Senior,3,Hybrid-Flexible,Supply Chain,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Denmark,101088,27,Senior,7,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Manager,Masters,35-44
United States of America,175000,30,Senior,7,Remote,Other,20 - 99 ,Small,Employed,Data/AI,Bachelors,35-44
Romania,5000,20,Senior,5,Remote,Telecomm  Services,<20,Small,Self-employed,Developer,Secondary school ,35-44
United States of America,140000,17,Senior,8,In-person,Banking Services,1000 - 4999,Medium,Employed,Developer,Some college,45-54 
Ireland,107894,40,Senior,5,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
Spain,34804,30,Senior,5,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
United Kingdom of Great Britain and Northern Ireland,108913,41,Senior,9,Remote,Other,20 - 99 ,Small,Employed,Data/AI,Masters,45-54 
Bulgaria,115648,37,Senior,10,Flexible,Other,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
Germany,48726,9,Mid,8,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Bachelors,18-24
United Kingdom of Great Britain and Northern Ireland,58541,22,Senior,7,Remote,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
Germany,89331,18,Senior,7,Hybrid-Flexible,Other,20 - 99 ,Small,Employed,Senior executive,Bachelors,35-44
Canada,47423,41,Senior,9,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,45-54 
United States of America,260000,40,Senior,7,Hybrid-InPerson,Software Development,I don’t know,Unknown,Employed,Developer,Masters,45-54 
Mexico,26320,7,Mid,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
Germany,116015,20,Senior,5,Hybrid-InPerson,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,35-44
Argentina,61420,30,Senior,8,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Some college,35-44
Israel,11766,7,Mid,8,Hybrid-Flexible,Higher Education,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
United States of America,140000,5,Mid,9,Hybrid-Flexible,Government,10000+,Large,Employed,Data/AI,Masters,25-34 
Canada,156860,25,Senior,8,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United States of America,145000,14,Mid,8,Hybrid-InPerson,Software Development,5000 - 9999,Large,Employed,Developer,Bachelors,35-44
United States of America,90000,7,Mid,8,In-person,Manufacturing,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,100000,15,Mid,8,Hybrid-InPerson,Software Development,<20,Small,Employed,Founder,Bachelors,25-34 
United States of America,140000,10,Mid,5,Hybrid-InPerson,Fintech,10000+,Large,Employed,Developer,Bachelors,25-34 
Sweden,56604,4,Mid,9,Hybrid-Flexible,Healthcare,20 - 99 ,Small,Employed,Developer,Secondary school ,25-34 
France,60328,14,Mid,8,Hybrid-InPerson,Media Services,100 - 499,Medium,Employed,Developer,Masters,35-44
Germany,69609,15,Mid,6,Flexible,Retail Services,100 - 499,Medium,Employed,Developer,Secondary school ,35-44
United Kingdom of Great Britain and Northern Ireland,89853,8,Mid,8,Hybrid-Flexible,Insurance,10000+,Large,Employed,Developer,Secondary school ,25-34 
Spain,174022,20,Senior,9,Remote,Other,100 - 499,Medium,Employed,Developer,Some college,25-34 
Poland,73683,20,Senior,4,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United States of America,148000,26,Senior,8,Hybrid-Flexible,Energy,1000 - 4999,Medium,Employed,Developer,Bachelors,45-54 
Germany,83531,16,Senior,10,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,85769,41,Senior,9,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
United States of America,60000,16,Senior,10,Remote,Supply Chain,20 - 99 ,Small,Employed,Developer,Some college,25-34 
South Africa,67655,14,Mid,9,In-person,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
United States of America,150000,21,Senior,8,Remote,Supply Chain,<20,Small,Employed,Developer,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,163370,25,Senior,8,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Other,Bachelors,45-54 
United Kingdom of Great Britain and Northern Ireland,47105,18,Senior,7,Remote,Government,1000 - 4999,Medium,Employed,Data/AI,Professional,45-54 
Romania,96494,31,Senior,6,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Architect,Bachelors,45-54 
Slovakia,156620,24,Senior,10,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Bachelors,35-44
Austria,72927,24,Senior,6,Hybrid-Flexible,Other,100 - 499,Medium,Employed,Developer,Masters,35-44
United States of America,48000,5,Mid,8,Hybrid-InPerson,Insurance,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
United States of America,170000,7,Mid,7,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
Ireland,63808,8,Mid,7,Remote,Software Development,10000+,Large,Employed,Developer,Bachelors,35-44
Germany,118335,15,Mid,9,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Manager,Masters,35-44
New Zealand,125290,20,Senior,8,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
Austria,58007,17,Senior,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,115720,18,Senior,6,Remote,Fintech,100 - 499,Medium,Employed,Developer,Masters,25-34 
Netherlands,64736,10,Mid,7,Hybrid-Flexible,Government,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
France,44086,15,Mid,6,Hybrid-InPerson,Computer System Services,<20,Small,Employed,Developer,Masters,25-34 
United States of America,220000,27,Senior,10,Remote,Software Development,10000+,Large,Employed,Developer,Masters,35-44
France,49886,12,Mid,6,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Argentina,66000,21,Senior,7,Remote,Insurance,<20,Small,Employed,Developer,Bachelors,35-44
Mexico,17634,11,Mid,6,In-person,Supply Chain,20 - 99 ,Small,Employed,Developer,Some college,25-34 
United Kingdom of Great Britain and Northern Ireland,61264,13,Mid,9,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
India,50000,3,Mid,6,Remote,Software Development,<20,Small,Employed,Developer,Other,18-24
United Kingdom of Great Britain and Northern Ireland,163370,10,Mid,9,Remote,Software Development,10000+,Large,Employed,Developer,Masters,25-34 
Belgium,54527,8,Mid,7,Hybrid-InPerson,Software Development,500 - 999,Medium,Employed,Developer,Masters,25-34 
United States of America,180000,20,Senior,6,Remote,Fintech,20 - 99 ,Small,Employed,Architect,Some college,35-44
Canada,196988,17,Senior,8,Remote,Fintech,10000+,Large,Employed,Data/AI,Bachelors,25-34 
Germany,21857,8,Mid,6,In-person,Software Development,10000+,Large,Student,Student,Secondary school ,18-24
United States of America,130000,33,Senior,9,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,45-54 
New Zealand,31322,10,Mid,9,In-person,Software Development,20 - 99 ,Small,Student,Research,Bachelors,18-24
United States of America,220000,28,Senior,9,In-person,Software Development,20 - 99 ,Small,Employed,Developer,Masters,45-54 
United States of America,160000,17,Senior,8,Remote,Banking Services,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Canada,100683,11,Mid,4,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,35-44
United States of America,135000,13,Mid,6,Hybrid-InPerson,Healthcare,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Australia,68910,40,Senior,9,Flexible,Higher Education,1000 - 4999,Medium,Employed,Developer,Masters,55-64
United States of America,135000,28,Senior,6,Remote,Energy,5000 - 9999,Large,Employed,Developer,Bachelors,55-64
United States of America,230000,39,Senior,7,Remote,Software Development,500 - 999,Medium,Employed,Developer,Masters,45-54 
Germany,75410,20,Senior,5,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
United States of America,185000,14,Mid,10,Remote,Healthcare,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Lithuania,99773,12,Mid,8,Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,80000,42,Senior,7,Remote,Telecomm  Services,1000 - 4999,Medium,Employed,Developer,Masters,55-64
United States of America,92000,4,Mid,8,In-person,Government,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Canada,62015,7,Mid,9,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
United States of America,160000,14,Mid,7,Hybrid-InPerson,Other,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,80000,6,Mid,8,In-person,Software Development,20 - 99 ,Small,Student,Developer,Some college,18-24
United States of America,100000,5,Mid,7,Hybrid-Flexible,Healthcare,10000+,Large,Employed,Developer,Bachelors,25-34 
Norway,77085,15,Mid,8,In-person,Telecomm  Services,20 - 99 ,Small,Employed,Developer,Masters,35-44
United States of America,225000,26,Senior,9,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,35-44
New Zealand,102400,15,Mid,8,In-person,Government,20 - 99 ,Small,Employed,Data/AI,Masters,35-44
United States of America,150000,23,Senior,9,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,35-44
Germany,13922,5,Mid,8,Hybrid-Flexible,Computer System Services,<20,Small,Student,Research,Some college,18-24
Egypt,40605,10,Mid,3,Flexible,Government,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
Nicaragua,215000,20,Senior,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Belgium,87011,25,Senior,5,Hybrid-Flexible,Software Development,1000 - 4999,Medium,Employed,Architect,Bachelors,35-44
United States of America,150000,12,Mid,8,Hybrid-Flexible,Supply Chain,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United States of America,75000,7,Mid,3,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,18-24
Bulgaria,55687,23,Senior,8,Hybrid-InPerson,Media Services,100 - 499,Medium,Employed,Developer,Bachelors,35-44
